antecedents,consequents,support,confidence,lift
D_Low|W_Low,K_0,0.121319,0.972717,8.017817
A_Res|D_High,K_2,0.130833,0.747619,5.714286
A_Res|D_Medium|Del_0,K_6,0.150764,0.899337,4.576133
A_Res|D_Medium,K_6,0.196528,0.786111,4.0
D_High,K_2,0.130833,0.506452,3.870968
D_Low,K_0,0.121319,0.363958,3.0
W_Low,K_0,0.121319,0.360876,2.974592
D_Medium|Del_0,K_6,0.150764,0.583602,2.969566
A_Com,K_4,0.156458,0.408152,2.608696
A_Com,K_1,0.134861,0.351812,2.608696
D_Medium,K_6,0.196528,0.481293,2.44898
A_Res|Del_0,K_6,0.150764,0.358843,1.825915
