Disposal_ID,Latitude,Longitude,Type,Capacity,Status
1,13.00735,77.693512,Bin,Medium,Available
2,13.07529,77.465906,Bin,High,Full
3,12.963914,77.667046,Bin,Low,Available
4,12.938338,77.65428,Bin,High,Full
5,13.02454,77.637634,Bin,High,Available
6,12.890654,77.768825,Recycling,High,Available
7,13.003354,77.596385,Recycling,High,Available
8,12.856592,77.581762,Recycling,High,Available
9,12.998533,77.583312,Recycling,High,Available
10,12.967173,77.595187,Bin,Low,Full
11,13.053225,77.799901,Recycling,Medium,Available
12,13.086191,77.747377,Bin,Medium,Available
13,13.088513,77.662161,Bin,Medium,Available
14,12.939541,77.489745,Bin,Medium,Available
15,12.980041,77.748264,Bin,Medium,Full
16,12.950871,77.496905,Bin,High,Available
17,13.02602,77.524537,Bin,Low,Available
18,12.997479,77.587285,Bin,High,Available
19,12.978497,77.724279,Bin,Medium,Full
20,13.08738,77.501476,Recycling,Medium,Available
21,12.964784,77.793011,Bin,Medium,Available
22,12.910036,77.476552,Bin,Low,Available
23,12.884707,77.674306,Bin,Medium,Full
24,12.96849,77.683645,Bin,Low,Available
25,12.892234,77.547507,Bin,Low,Available
26,12.965195,77.522217,Bin,Medium,Available
27,12.859828,77.729794,Bin,Low,Full
28,13.080218,77.471377,Bin,High,Available
29,12.89613,77.523272,Bin,Medium,Available
30,12.942228,77.611887,Recycling,Low,Available
31,13.028337,77.763322,Bin,Medium,Available
32,12.961853,77.636416,Bin,Low,Available
33,12.855018,77.562728,Bin,Medium,Available
34,13.072632,77.657757,Bin,High,Available
35,12.87173,77.637987,Bin,High,Available
36,12.881895,77.549322,Bin,Medium,Available
37,12.939024,77.79528,Bin,Low,Available
38,12.888215,77.536085,Bin,Low,Available
39,12.893343,77.763868,Bin,Medium,Available
40,13.095595,77.489214,Bin,High,Full
41,13.054268,77.540266,Bin,Medium,Full
42,12.989191,77.650064,Bin,High,Available
43,12.93092,77.598903,Bin,Low,Available
44,13.002655,77.551021,Bin,Low,Available
45,12.983147,77.468138,Bin,Low,Available
46,13.09749,77.562824,Recycling,Low,Available
47,13.040057,77.658474,Bin,Medium,Available
48,13.082382,77.740717,Recycling,Low,Available
