Location_ID,Latitude,Longitude,Area_Type,Population_Density
1,13.085115,77.783875,Residential,High
2,13.078716,77.579556,Commercial,High
3,12.853864,77.774911,Commercial,Medium
4,12.957046,77.788329,Residential,Low
5,13.090905,77.748553,Residential,Low
6,12.923612,77.584784,Residential,Medium
7,13.062784,77.560923,Residential,High
8,12.892373,77.64488,Commercial,High
9,13.084039,77.69361,Commercial,Low
10,12.992515,77.484012,Commercial,Medium
11,13.003752,77.796519,Residential,Medium
12,12.885021,77.631415,Commercial,Low
13,13.069343,77.709269,Commercial,Low
14,13.024254,77.695869,Residential,Medium
15,12.939873,77.552757,Residential,High
16,13.05234,77.73354,Residential,Medium
17,13.066768,77.769634,Residential,Medium
18,12.977836,77.625531,Residential,High
19,13.049574,77.677487,Residential,Medium
20,13.025492,77.728527,Residential,High
21,13.072501,77.568298,Commercial,High
22,12.943896,77.482894,Residential,Low
23,12.99457,77.46258,Residential,Medium
24,12.9664,77.639926,Residential,Medium
25,12.921635,77.656792,Residential,Low
26,12.857625,77.463072,Commercial,Low
27,13.05565,77.576067,Residential,Medium
28,12.881765,77.632785,Residential,Medium
29,13.042498,77.525537,Residential,Low
30,13.005723,77.479872,Residential,Low
31,12.86292,77.635974,Commercial,High
32,12.985159,77.6731,Residential,Low
33,13.031523,77.791548,Residential,Low
34,12.979075,77.563035,Commercial,Medium
35,13.048797,77.544791,Commercial,High
36,12.959743,77.47746,Commercial,Low
37,12.856338,77.786927,Residential,Medium
38,13.058995,77.693591,Residential,High
39,12.952238,77.510653,Commercial,Low
40,12.889109,77.537585,Residential,High
41,12.987307,77.700109,Residential,Medium
42,13.015049,77.547977,Residential,Medium
43,13.088716,77.708264,Residential,Medium
44,12.988589,77.664102,Commercial,Medium
45,12.9549,77.536706,Residential,Low
46,12.938993,77.715246,Commercial,High
47,12.853598,77.490625,Residential,Medium
48,12.861501,77.464255,Residential,Low
49,13.063865,77.69628,Residential,Low
50,12.968543,77.484242,Residential,Medium
51,12.972904,77.615715,Commercial,Medium
52,12.8933,77.601848,Commercial,Low
53,12.949626,77.665548,Commercial,Medium
54,13.008773,77.465856,Commercial,Low
55,12.943653,77.669051,Residential,Medium
56,12.975784,77.749771,Commercial,Low
57,13.014673,77.507027,Residential,Medium
58,12.867642,77.674847,Residential,Medium
59,12.856628,77.655021,Residential,High
60,13.085058,77.651416,Residential,Low
61,12.947042,77.675151,Residential,Medium
62,12.964563,77.640966,Residential,Low
63,13.085366,77.585136,Commercial,High
64,13.090298,77.766873,Residential,High
65,12.898948,77.474276,Residential,Low
66,12.875195,77.456378,Residential,Medium
67,12.873611,77.689052,Residential,High
68,12.867797,77.561641,Commercial,Medium
69,13.061219,77.458145,Residential,Medium
70,13.053617,77.548649,Commercial,Low
71,12.879541,77.693858,Commercial,Low
72,13.007236,77.757115,Residential,High
73,13.033768,77.731218,Residential,High
74,12.920509,77.512104,Commercial,Medium
75,13.037654,77.732392,Commercial,Medium
76,13.097626,77.594416,Commercial,Medium
77,12.943005,77.721745,Commercial,High
78,12.935201,77.775765,Residential,High
79,13.064603,77.600148,Residential,High
80,13.037718,77.71409,Residential,High
81,12.875781,77.765894,Commercial,Medium
82,12.976313,77.73926,Commercial,Low
83,12.930012,77.763433,Residential,Low
84,12.9473,77.453793,Residential,High
85,13.076345,77.48195,Residential,Medium
86,12.929828,77.782522,Residential,Low
87,13.087652,77.650703,Commercial,Low
88,13.007959,77.606956,Commercial,Medium
89,12.923303,77.565033,Commercial,Low
90,13.01813,77.713331,Residential,Low
91,13.047895,77.726366,Residential,Medium
92,12.872802,77.623047,Commercial,Medium
93,12.86439,77.642335,Commercial,Medium
94,12.960383,77.760696,Residential,Low
95,12.937729,77.490973,Commercial,High
96,12.885748,77.716529,Residential,Low
97,13.004555,77.485393,Residential,Medium
98,12.871027,77.695339,Residential,High
99,12.868191,77.737651,Residential,Medium
100,13.026561,77.478472,Residential,High
101,12.871209,77.795324,Residential,Medium
102,12.943568,77.579725,Commercial,Medium
103,13.0532,77.781537,Residential,Low
104,13.0965,77.713682,Residential,Medium
105,12.944065,77.479225,Commercial,Low
106,13.044287,77.645441,Residential,Low
107,12.956056,77.767224,Residential,High
108,12.877799,77.622419,Commercial,Medium
109,12.852838,77.614031,Residential,High
110,12.864076,77.491586,Residential,Medium
111,12.879382,77.677224,Residential,High
112,13.036511,77.654179,Residential,Medium
113,13.090543,77.581205,Commercial,Medium
114,12.921428,77.75401,Commercial,Medium
115,12.905899,77.787128,Commercial,Low
116,12.853039,77.789458,Commercial,High
117,12.86079,77.7619,Commercial,Low
118,12.981925,77.797538,Residential,Low
119,12.868449,77.643849,Commercial,Medium
120,13.092326,77.633084,Residential,Low
